restaurant_id,tag_id,confidence,weight
1,6966,1,2
1,7102,1,2
1,7555,1,2
1,7485,1,2
1,7165,1,2
1,7382,1,2
1,7305,1,2
1,6821,1,2
1,7375,1,2
1,6761,1,2
1,7169,1,2
1,7394,1,2
1,7452,1,2
1,7013,1,2
1,303,1,2
1,6810,1,2
1,234,1,2
2,7191,0.68,2
2,7498,0.68,2
2,7165,0.68,2
2,7001,0.68,2
2,6761,0.68,2
2,7169,0.68,2
2,7394,0.68,2
2,7452,0.68,2
2,828,0.68,2
2,339,0.68,2
2,415,0.68,2
3,7357,0.08,2
3,7428,0.08,2
3,6947,0.08,2
3,7524,0.08,2
3,6756,0.08,2
3,6761,0.08,2
3,7169,0.08,2
3,7394,0.08,2
3,529,0.08,2
3,198,0.08,2
3,484,0.08,2
4,269,0.01,2
4,543,0.01,2
4,12,0.01,2
5,7671,1,2
5,6764,1,2
5,7120,1,2
5,6843,1,2
5,6758,1,2
5,6947,1,2
5,6769,1,2
5,7686,1,2
5,7190,1,2
5,6761,1,2
5,7169,1,2
5,7394,1,2
5,665,1,2
5,7013,1,2
5,18,1,2
5,876,1,2
5,484,1,2
5,725,1,2
5,673,1,2
5,333,1,2
6,6966,0.06,2
6,6946,0.06,2
6,7099,0.06,2
6,7089,0.06,2
6,7170,0.06,2
6,6761,0.06,2
6,7169,0.06,2
6,7452,0.06,2
6,198,0.06,2
6,182,0.06,2
6,734,0.06,2
6,187,0.06,2
7,6966,1,2
7,6767,1,2
7,7428,1,2
7,6723,1,2
7,7382,1,2
7,6826,1,2
7,7432,1,2
7,7363,1,2
7,6761,1,2
7,7169,1,2
7,7394,1,2
7,7452,1,2
7,359,1,2
7,534,1,2
7,97,1,2
7,616,1,2
8,7051,0.05,2
8,7120,0.05,2
8,6780,0.05,2
8,6928,0.05,2
8,6756,0.05,2
8,7524,0.05,2
8,7170,0.05,2
8,6761,0.05,2
8,7169,0.05,2
8,7394,0.05,2
8,222,0.05,2
8,7013,0.05,2
10,7507,0.15,2
10,7120,0.15,2
10,6780,0.15,2
10,7524,0.15,2
10,6797,0.15,2
10,6761,0.15,2
10,7169,0.15,2
10,7394,0.15,2
14,7499,0.21,2
14,7066,0.21,2
14,7399,0.21,2
14,7087,0.21,2
14,7524,0.21,2
14,7170,0.21,2
14,6761,0.21,2
14,7394,0.21,2
14,7653,0.21,2
14,613,0.21,2
16,6966,1,2
16,7599,1,2
16,7102,1,2
16,6723,1,2
16,7165,1,2
16,6962,1,2
16,7153,1,2
16,7241,1,2
16,6769,1,2
16,6761,1,2
16,7169,1,2
16,7394,1,2
16,198,1,2
16,18,1,2
16,572,1,2
16,911,1,2
16,579,1,2
16,391,1,2
16,820,1,2
16,664,1,2
16,465,1,2
16,506,1,2
16,673,1,2
16,523,1,2
16,333,1,2
17,7437,0.04,2
17,7465,0.04,2
17,7190,0.04,2
17,7305,0.04,2
17,7155,0.04,2
17,6761,0.04,2
17,7169,0.04,2
17,7452,0.04,2
18,7351,0.21,2
18,7671,0.21,2
18,7573,0.21,2
18,6843,0.21,2
18,6758,0.21,2
18,6947,0.21,2
18,7155,0.21,2
18,7575,0.21,2
18,6761,0.21,2
18,7169,0.21,2
18,7394,0.21,2
18,186,0.21,2
18,359,0.21,2
18,506,0.21,2
18,484,0.21,2
18,673,0.21,2
18,523,0.21,2
18,613,0.21,2
18,333,0.21,2
19,7428,1,2
19,7260,1,2
19,6843,1,2
19,7399,1,2
19,6758,1,2
19,7314,1,2
19,7264,1,2
19,6761,1,2
19,7169,1,2
19,7394,1,2
19,368,1,2
19,7013,1,2
19,920,1,2
19,484,1,2
19,673,1,2
19,333,1,2
20,7120,0.08,2
20,6741,0.08,2
20,6947,0.08,2
20,6853,0.08,2
20,7153,0.08,2
20,7305,0.08,2
20,6761,0.08,2
20,7169,0.08,2
20,7394,0.08,2
20,7013,0.08,2
20,93,0.08,2
20,484,0.08,2
20,673,0.08,2
20,333,0.08,2
22,7671,0.94,2
22,6912,0.94,2
22,6947,0.94,2
22,7399,0.94,2
22,6756,0.94,2
22,7169,0.94,2
22,7394,0.94,2
22,7653,0.94,2
22,209,0.94,2
22,7013,0.94,2
22,436,0.94,2
22,269,0.94,2
22,484,0.94,2
23,7260,1,2
23,7428,1,2
23,7649,1,2
23,6947,1,2
23,7382,1,2
23,7332,1,2
23,7524,1,2
23,7153,1,2
23,6761,1,2
23,7169,1,2
23,7394,1,2
23,869,1,2
23,7013,1,2
23,280,1,2
24,6966,0.13,2
24,7282,0.13,2
24,7270,0.13,2
24,7382,0.13,2
24,7524,0.13,2
24,7153,0.13,2
24,6761,0.13,2
24,7169,0.13,2
24,7394,0.13,2
24,56,0.13,2
25,6877,1,2
25,6764,1,2
25,6947,1,2
25,6843,1,2
25,7256,1,2
25,7241,1,2
25,6761,1,2
25,7169,1,2
25,7394,1,2
25,564,1,2
25,714,1,2
25,7013,1,2
25,484,1,2
25,333,1,2
26,6966,1,2
26,6764,1,2
26,6843,1,2
26,7187,1,2
26,6758,1,2
26,7153,1,2
26,6748,1,2
26,6761,1,2
26,7169,1,2
26,7394,1,2
26,530,1,2
26,437,1,2
26,359,1,2
26,920,1,2
26,114,1,2
26,227,1,2
26,925,1,2
26,519,1,2
26,799,1,2
26,484,1,2
26,725,1,2
26,12,1,2
26,673,1,2
26,664,1,2
26,333,1,2
27,725,0.02,2
28,6960,0.74,2
28,7299,0.74,2
28,7128,0.74,2
28,6947,0.74,2
28,7399,0.74,2
28,7087,0.74,2
28,7686,0.74,2
28,6761,0.74,2
28,7169,0.74,2
28,7653,0.74,2
28,332,0.74,2
28,7013,0.74,2
28,604,0.74,2
28,943,0.74,2
28,484,0.74,2
28,613,0.74,2
29,7671,0.14,2
29,6912,0.14,2
29,6947,0.14,2
29,6765,0.14,2
29,7153,0.14,2
29,7241,0.14,2
29,6761,0.14,2
29,7169,0.14,2
29,7394,0.14,2
29,7013,0.14,2
29,604,0.14,2
30,7260,1,2
30,7428,1,2
30,6843,1,2
30,7209,1,2
30,6758,1,2
30,7153,1,2
30,7155,1,2
30,6761,1,2
30,7169,1,2
30,7394,1,2
30,528,1,2
30,359,1,2
30,18,1,2
30,572,1,2
30,484,1,2
30,184,1,2
30,664,1,2
30,333,1,2
31,6946,0.22,2
31,7428,0.22,2
31,7668,0.22,2
31,6987,0.22,2
31,7524,0.22,2
31,7431,0.22,2
31,6761,0.22,2
31,7169,0.22,2
31,7394,0.22,2
31,324,0.22,2
34,7387,0.94,2
34,7529,0.94,2
34,7361,0.94,2
34,6843,0.94,2
34,6758,0.94,2
34,6723,0.94,2
34,7548,0.94,2
34,6826,0.94,2
34,6761,0.94,2
34,7169,0.94,2
34,7394,0.94,2
34,602,0.94,2
34,198,0.94,2
34,436,0.94,2
34,838,0.94,2
34,218,0.94,2
34,94,0.94,2
34,309,0.94,2
34,434,0.94,2
34,655,0.94,2
34,706,0.94,2
34,673,0.94,2
34,333,0.94,2
35,6863,0.68,2
35,6764,0.68,2
35,6928,0.68,2
35,6741,0.68,2
35,7524,0.68,2
35,7305,0.68,2
35,7084,0.68,2
35,6761,0.68,2
35,7169,0.68,2
35,7394,0.68,2
35,198,0.68,2
35,943,0.68,2
35,187,0.68,2
36,6946,0.26,2
36,7428,0.26,2
36,7260,0.26,2
36,6928,0.26,2
36,6756,0.26,2
36,6769,0.26,2
36,6761,0.26,2
36,7169,0.26,2
36,7394,0.26,2
36,207,0.26,2
36,413,0.26,2
36,7013,0.26,2
36,948,0.26,2
36,937,0.26,2
36,352,0.26,2
36,391,0.26,2
36,838,0.26,2
36,333,0.26,2
37,6946,1,2
37,7146,1,2
37,7081,1,2
37,6843,1,2
37,6947,1,2
37,6987,1,2
37,7524,1,2
37,7305,1,2
37,6761,1,2
37,7169,1,2
37,7394,1,2
37,359,1,2
37,18,1,2
37,484,1,2
37,12,1,2
39,7051,0.11,2
39,6947,0.11,2
39,7087,0.11,2
39,7399,0.11,2
39,7524,0.11,2
39,6962,0.11,2
39,6761,0.11,2
39,7169,0.11,2
39,7394,0.11,2
39,747,0.11,2
39,7013,0.11,2
39,592,0.11,2
39,484,0.11,2
39,613,0.11,2
40,7428,0.23,2
